"","Country","Region","Year","HealthSpendingPercent","SuicideRate","Country_Name","GDP_per_Capita","GINI_Index","SuicideRate_sqrt"
"614","FIN","Europe",2016,9.37796,15.28915,"Finland",54486.46,0.27078423,3.91013426879436
"615","SYR","Eastern Mediterranean",2006,3.77771,0.69714,"Syria",8885.806,0.4014725,0.834949100245039
"616","IDN","South-East Asia",2018,2.86758,1.58481,"Indonesia",12262.231,0.36338645,1.25889237030018
"617","DOM","Americas",2002,4.98649,3.8925,"Dominican Republic",11242.072,0.49671522,1.97294196569489
"618","THA","South-East Asia",2010,3.3901,8.9335,"Thailand",16729.775,0.3940277,2.98889611729816
"619","KGZ","Europe",2011,7.10729,11.4672,"Kyrgyzstan",5092.852,0.27839768,3.3863254421275
"620","PER","Americas",2014,4.93103,1.54291,"Peru",14247.101,0.43138838,1.24213928365542
"621","SYR","Eastern Mediterranean",2003,5.11782,0.82777,"Syria",8177.545,0.37514603,0.90981866325109
"622","LUX","Europe",2017,5.13535,9.955,"Luxembourg",133845.17,0.34515306,3.1551545128567
"623","DJI","Eastern Mediterranean",2013,2.91782,6.95293,"Djibouti",4446.4136,0.44117805,2.63684091291075
"624","GBR","Europe",2017,9.60017,7.97743,"United Kingdom",53449.293,0.3260817,2.82443445666562
"625","PRT","Europe",2018,9.41265,11.83395,"Portugal",39330.5,0.33492562,3.44005087171687
"626","LVA","Europe",2007,5.5135,20.95137,"Latvia",28380.549,0.37461132,4.57726665161644
"627","DEU","Europe",2007,10.05133,12.37956,"Germany",55309.996,0.3117709,3.51845989034975
"628","PER","Americas",2021,6.67921,1.5378,"Peru",15282.273,0.4012181,1.24008064253902
"629","ARM","Europe",2013,10.32345,6.46843,"Armenia",12194.019,0.30579662,2.543310834326
"630","ESP","Europe",2003,7.56327,8.47114,"Spain",42045.082,0.31800938,2.91052228989919
"631","KAZ","Europe",2019,2.78746,18.79648,"Kazakhstan",33298.21,0.27968282,4.33549074500223
"632","CAN","Americas",2015,10.7685,13.42697,"Canada",54819.188,0.33746484,3.66428301308728
"633","HRV","Europe",2018,6.69267,16.76124,"Croatia",33715.938,0.29728642,4.09404934020097
"634","SWE","Europe",2011,10.41647,14.0704,"Sweden",57209.918,0.27605262,3.75105318544006
"635","GBR","Europe",2000,7.15693,8.50554,"United Kingdom",44859.66,0.38848642,2.91642589482401
"636","NPL","South-East Asia",2010,4.36132,10.08013,"Nepal",3085.314,0.32840586,3.17492204628712
"637","MKD","Europe",2011,6.51887,5.9738,"North Macedonia",17377.803,0.39360264,2.44413583910551
"638","DZA","Africa",2011,4.82568,2.54403,"Algeria",14641.964,0.27615732,1.59500156739735
"639","TZA","Africa",2018,4.32879,4.2486,"Tanzania",3392.6887,0.4049123,2.06121323496624
"640","ZWE","Africa",2017,6.17279,15.12277,"Zimbabwe",3453.5098,0.44337082,3.88880058629907
"641","CHL","Americas",2000,7.00021,10.64218,"Chile",17531.46,0.5275838,3.26223542988546
"642","PRT","Europe",2012,9.65393,13.50088,"Portugal",34988.68,0.36034793,3.67435436505517
"643","GRC","Europe",2010,9.59662,3.39642,"Greece",37618.684,0.3409893,1.84293787198592
"644","HRV","Europe",2020,7.64949,14.66505,"Croatia",32479.234,0.29543322,3.82949735605079
"645","SLV","Americas",2016,8.71456,10.17144,"El Salvador",9863.761,0.39978546,3.18926950883741
"646","IND","South-East Asia",2011,3.24634,15.8515,"India",5249.5493,0.3539906,3.98139422815676
"647","LVA","Europe",2009,6.09759,26.42033,"Latvia",23651.324,0.35945752,5.14007101118263
"648","MLT","Europe",2018,8.50738,5.00605,"Malta",54627.965,0.28665087,2.23742038964518
"649","CAN","Americas",2004,9.06628,12.39094,"Canada",50436.293,0.33776483,3.52007670370974
"650","PAK","Eastern Mediterranean",2010,2.42968,6.33866,"Pakistan",4228.7817,0.28780863,2.51766955734862
"651","BOL","Americas",2012,5.25394,5.43155,"Bolivia",8108.205,0.46579948,2.3305686001489
"652","SRB","Europe",2016,8.45891,15.95949,"Serbia",19100.998,0.38775226,3.99493304074048
"653","IRL","Europe",2003,7.00761,11.96402,"Ireland",58488.53,0.32887438,3.45890445083411
"654","EST","Europe",2013,6.28062,18.14727,"Estonia",35477.637,0.35075676,4.25996126742955
"655","TUR","Europe",2016,4.28469,3.34938,"Turkey",26497.135,0.41873705,1.83013114284195
"656","TJK","Europe",2009,5.8558,2.87053,"Tajikistan",2349.5002,0.30774954,1.69426385194278
